merge_key,style,blip_itm_score
dataset/retro/retro_114.jpg,retro,0.99981207
dataset/conservative/conservative_903.jpg,conservative,0.99769706
dataset/lolita/lolita_1063.jpg,lolita,0.99952865
dataset/retro/retro_781.jpg,retro,0.9784071
dataset/conservative/conservative_794.jpg,conservative,0.95365113
dataset/natural/natural_27.jpg,natural,0.9945925
dataset/fairy/fairy_699.jpg,fairy,0.9996829
dataset/ethnic/ethnic_152.jpg,ethnic,0.99875164
dataset/natural/natural_569.jpg,natural,0.99985695
dataset/girlish/girlish_377.jpg,girlish,0.5672245
dataset/street/street_280.jpg,street,0.8322443
dataset/kireime-casual/kireime-casual_101.jpg,kireime-casual,0.16957796
dataset/retro/retro_691.jpg,retro,0.9186871
dataset/gal/gal_335.jpg,gal,0.9980173
dataset/girlish/girlish_793.jpg,girlish,0.99972576
dataset/dressy/dressy_420.jpg,dressy,0.14947332
dataset/girlish/girlish_699.jpg,girlish,0.27362913
dataset/girlish/girlish_443.jpeg,girlish,0.99809057
dataset/girlish/girlish_224.jpg,girlish,0.9439638
dataset/natural/natural_581.jpg,natural,0.77461284
dataset/natural/natural_9.jpg,natural,0.9864075
dataset/street/street_268.jpg,street,0.9807036
dataset/conservative/conservative_798.jpg,conservative,0.99965346
dataset/fairy/fairy_676.jpg,fairy,0.9488649
dataset/fairy/fairy_637.jpg,fairy,0.99665207
dataset/gal/gal_127.jpg,gal,0.989833
dataset/gal/gal_62.jpg,gal,0.944662
dataset/fairy/fairy_490.jpg,fairy,0.9595407
dataset/mode/mode_149.jpg,mode,0.9558411
dataset/gal/gal_440.jpg,gal,0.92397416
dataset/mode/mode_1017.jpg,mode,0.9980761
dataset/gal/gal_84.jpg,gal,0.99889416
dataset/street/street_941.jpg,street,0.9966017
dataset/dressy/dressy_763.jpg,dressy,0.99254495
dataset/street/street_94.jpg,street,0.9955929
dataset/lolita/lolita_170.jpg,lolita,0.74156886
dataset/retro/retro_763.jpg,retro,0.99398166
dataset/mode/mode_577.jpg,mode,0.9427258
dataset/conservative/conservative_721.jpg,conservative,0.99836856
dataset/rock/rock_209.jpg,rock,0.99727327
dataset/street/street_986.jpg,street,0.9998709
